ALUNO;ANO;PEDRA;DESTAQUE_IPV;DESTAQUE_IDA;TURMA;ANOS_PM;REC_EQUIPE_4;REC_EQUIPE_2;SINALIZADOR_INGRESSANTE;DESTAQUE_IEG;REC_EQUIPE_3;NOTA_MAT;CF;REC_AVA_3;CT;INDICADO_BOLSA;IDADE_ALUNO;BOLSISTA;IPV;IAA;IAN;FASE_TURMA;IPP;DEFASAGEM;REC_EQUIPE_1;REC_AVA_4;INSTITUICAO_ENSINO_ALUNO;IDA;NOTA_PORT;NOTA_ING;IPS;ANO_INGRESSO;QTD_AVAL;IEG;PONTO_VIRADA;REC_AVA_2;NIVEL_IDEAL;INDE;CG;INDE_CONCEITO;FASE;REC_AVA_1
ALUNO-270;2020;Ágata;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;3;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;11;;8.500003333333334;6.66667;10;3C;8.125;;;;Escola Pública;8.666666666666666;;;4.375;;;4.2;Não;;;7.1900010000000005;;C;;
ALUNO-270;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-270;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-271;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-271;2021;Ágata;;;J;;Não avaliado;Promovido de Fase;Ingressante;;Mantido na Fase atual;;;;;;;;5.5;9.6;10.0;;7.7;0.0;Mantido na Fase atual;;Escola Pública;4.3;;;7.5;;;5.0;Não;;Nível 3 (7o e 8o ano);6.429;;;3.0;
ALUNO-271;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-272;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-272;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-272;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;D;;;;;Destaque: A sua boa entrega das lições de casa.;;7.0;59.0;Mantido na Fase atual;6.0;Não;;Não;7.5;9.0;10.0;;6.25;;;;;6.0;5.0;nan;5.0;2022.0;3.0;10.0;Não;Mantido na Fase atual;Fase 1 (4º ano);7.73;228.0;;1.0;Mantido na Fase atual
ALUNO-273;2020;Quartzo;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;2;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;14;;4.388883333333333;9.000020000000001;2.5;1R;7.291666666666667;;;;Escola Pública;0;;;7.5;;;4.4;Não;;;4.386945333333334;;D;;
ALUNO-273;2021;Quartzo;;;R;;Não avaliado;Mantido na Fase atual;Veterano;;Mantido na Fase atual;;;;;;;;4.4;9.5;5.0;;6.3;-1.0;Mantido na Fase atual;;Escola Pública;0.0;;;7.5;;;2.1;Não;;Nível 2 (5o e 6o ano);4.125;;;1.0;
ALUNO-273;2022;Ágata;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;B;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;5.5;145.0;Promovido de Fase;12.0;Não;;Não;7.56;8.5;5.0;;5.83;;;;;5.67;5.83;nan;7.5;2018.0;3.0;6.78;Não;Promovido de Fase;Fase 2 (5º e 6º ano);6.68;595.0;;1.0;Promovido de Fase
ALUNO-274;2020;Ágata;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;2;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;16;;7.444443333333334;7.91667;5;5A;7.291666666666667;;;;Escola Pública;3.6666666666666665;;;7.5;;;5.6;Não;;;6.113055666666667;;C;;
ALUNO-274;2021;Ágata;;;A;;Promovido de Fase;Promovido de Fase + Bolsa;Veterano;;Promovido de Fase + Bolsa;;;;;;;;6.9;7.1;5.0;;7.7;-2.0;Promovido de Fase;;Escola Pública;6.1;;;7.5;;;7.8;Não;;Nível 7 (3o EM);6.880;;;5.0;
ALUNO-274;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-275;2020;Ágata;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;3;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;13;;5.666665;10.000020000000001;10;3M;6.09375;;;;Escola Pública;4.333333333333333;;;7.5;;;5.2;Não;;;6.399376666666667;;C;;
ALUNO-275;2021;Ágata;;;M;;Não avaliado;Mantido na Fase atual;Veterano;;Mantido na Fase atual;;;;;;;;6.4;8.8;5.0;;6.9;-1.0;Promovido de Fase;;Escola Pública;3.4;;;6.3;;;5.8;Não;;Nível 4 (9o ano);5.815;;;3.0;
ALUNO-275;2022;Ágata;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;L;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;6.17;65.0;Promovido de Fase;15.0;Sim;;Não;6.83;8.33;5.0;;7.34;;;Promovido de Fase + Bolsa;;3.97;3.67;2.07;6.25;2017.0;4.0;6.1;Não;Mantido na Fase atual;Fase 5 (1º EM);6.07;714.0;;4.0;Promovido de Fase
ALUNO-276;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-276;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-276;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;D;;;;;Destaque: A sua boa entrega das lições de casa.;;7.5;63.0;;6.0;Não;;Não;8.0;8.5;5.0;;5.0;;;;;8.25;9.0;nan;8.12;2022.0;2.0;8.95;Não;Promovido de Fase;Fase 1 (4º ano);7.7;233.0;;0.0;Promovido de Fase
ALUNO-277;2020;Ametista;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;2;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;12;;7.777773333333332;9.500020000000001;5;1E;7.708333333333334;;;;Escola Pública;10;;;5.625;;;8.4;Não;;;8.018889999999999;;B;;
ALUNO-277;2021;Ametista;;;E;;Não avaliado;Promovido de Fase;Veterano;;Promovido de Fase;;;;;;;;7.8;9.5;5.0;;8.5;-2.0;Promovido de Fase;;Escola Pública;7.8;;;7.5;;;10.0;Não;;Nível 3 (7o e 8o ano);8.183;;;1.0;
ALUNO-277;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;J;;;;;Destaque: A sua boa entrega das lições de casa.;;8.5;100.0;Promovido de Fase;8.0;Não;;Não;7.94;8.0;2.5;;6.04;;;;;8.25;8.0;nan;6.88;2018.0;3.0;8.63;Não;Promovido de Fase;Fase 4 (9º ano);7.31;385.0;;1.0;Promovido de Fase
ALUNO-278;2020;Ametista;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;1;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;17;;8.333333333333334;8.75001;5;5L;8.749999999999998;;;;Escola Pública;7.333333333333333;;;9.375;;;9.6;Não;;;8.240834333333334;;B;;
ALUNO-278;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-278;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-279;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-279;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-279;2022;Quartzo;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;N;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;5.0;108.0;Promovido de Fase;11.0;Não;;Não;5.89;7.5;5.0;;6.56;;;;;4.06;4.67;2.5;5.0;2022.0;3.0;7.02;Não;Mantido na Fase atual;Fase 4 (9º ano);5.8;750.0;;3.0;Mantido na Fase atual
ALUNO-280;2020;Ágata;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;2;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;10;;8;8.500020000000001;5;1F;6.5625;;;;Escola Pública;6.5;;;5;;;6.2;Não;;;6.6462520000000005;;C;;
ALUNO-280;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-280;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-281;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-281;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-281;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;N;;;;;Destaque: A sua boa entrega das lições de casa.;;5.5;91.0;Mantido na Fase atual;6.0;Não;;Não;7.72;9.0;5.0;;6.04;;;;;6.75;8.0;nan;7.5;2022.0;3.0;8.88;Não;Mantido na Fase atual;Fase 2 (5º e 6º ano);7.42;346.0;;1.0;Mantido na Fase atual
ALUNO-282;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-282;2021;Topázio;;;B;;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Ingressante;;Promovido de Fase + Bolsa;;;;;;;;9.0;9.2;5.0;;8.8;-1.0;Promovido de Fase + Bolsa;;Escola Pública;8.8;;;7.5;;;9.7;Sim;;Nível 6 (2o EM);8.544;;;5.0;
ALUNO-282;2022;Topázio;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;A;;;;;Destaque: A sua boa entrega das lições de casa.;;6.27;5.0;Promovido de Fase + Bolsa;5.0;Não;;Sim;9.11;9.17;5.0;;8.59;;;Promovido de Fase + Bolsa;;8.64;10.0;9.67;6.88;2021.0;4.0;7.86;Sim;Mantido na Fase atual;Fase 7 (3º EM);8.09;119.0;;6.0;Promovido de Fase
ALUNO-283;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-283;2021;Topázio;;;A;;Promovido de Fase;Promovido de Fase + Bolsa;Ingressante;;Promovido de Fase + Bolsa;;;;;;;;9.5;8.8;5.0;;8.8;-1.0;Promovido de Fase + Bolsa;;Escola Pública;8.7;;;7.5;;;9.4;Sim;;Nível 6 (2o EM);8.531;;;5.0;
